Entity,Year,Annual CO₂ emissions (per capita)
Bulgaria,2000,56.081.963
Burkina Faso,2000,86.654.805
Burundi,2000,4.298.516
Cambodia,2000,16.296.075
Cameroon,2000,37.030.995
Canada,2000,18.482.231
Cape Verde,2000,64.763.516
Central African Republic,2000,62.379.662
Chad,2000,5.902.694
Chile,2000,38.107.965
China,2000,28.867.998
Colombia,2000,1.4431
Comoros,2000,19.113.126
Congo,2000,13.670.081
Cook Islands,2000,32.221.105
Costa Rica,2000,13.555.207
Cote d'Ivoire,2000,39.486.343
Croatia,2000,43.223.653
Cuba,2000,23.209.043
Curacao,2000,35.282.955
Cyprus,2000,74.924.197
Czechia,2000,12.431.808
Democratic Republic of Congo,2000,35.064.988
Denmark,2000,1.016.851
Djibouti,2000,4.937.699
Dominica,2000,15.006.509
Dominican Republic,2000,2.223.638
East Timor,2000,25.030.538
Ecuador,2000,16.574.092
Egypt,2000,20.153.186
El Salvador,2000,95.174.825
Equatorial Guinea,2000,39.406.133
Eritrea,2000,2.525.956
Estonia,2000,11.083.067
Eswatini,2000,11.733.288
Ethiopia,2000,5.165.983
Europe,2000,8.460.033
Europe (excl. EU-27),2000,8.486.076
Europe (excl. EU-28),2000,8.198.505
European Union (27),2000,8.441.661
European Union (28),2000,8.590.464
Faroe Islands,2000,15.078.189
Fiji,2000,9.787.824
Finland,2000,11.013.854
France,2000,69.292.483
French Polynesia,2000,24.383.934
Gabon,2000,48.141.956
Gambia,2000,1.911.599
Georgia,2000,10.551.473
Germany,2000,11.022.925
Ghana,2000,27.015.832
Greece,2000,9.328.876
Greenland,2000,11.881.094
Grenada,2000,17.733.103
Guatemala,2000,8.320.425
Guinea,2000,17.887.163
Guinea-Bissau,2000,1.190.717
Guyana,2000,23.024.929
Haiti,2000,19.546.653
High-income countries,2000,12.719.807
Honduras,2000,7.558.531
Hong Kong,2000,5.984.493
Hungary,2000,5.734.726
Iceland,2000,10.421.005
India,2000,92.251.354
Indonesia,2000,13.141.832
Iran,2000,5.558.102
Iraq,2000,33.808.122
Ireland,2000,12.005.748
Israel,2000,973.023
Italy,2000,8.259.678
Jamaica,2000,39.483.876
Japan,2000,9.966.216
Jordan,2000,30.062.673
Kazakhstan,2000,9.410.462
Kenya,2000,33.738.407
Kiribati,2000,41.242.683
Kuwait,2000,28.368.042
Kyrgyzstan,2000,9.270.692
Laos,2000,17.684.117
Latvia,2000,29.602.795
Lebanon,2000,3.579.615
Lesotho,2000,92.579.323
Liberia,2000,13.773.315
Libya,2000,10.327.976
Liechtenstein,2000,6.560.779
Lithuania,2000,3.290.062
Low-income countries,2000,4.294.245
Lower-middle-income countries,2000,11.323.982
Luxembourg,2000,199.792
Macao,2000,3.775.098
Madagascar,2000,12.011.785
Malawi,2000,7.637.519
Malaysia,2000,53.552.947
Maldives,2000,15.951.862
Mali,2000,94.867.356
Malta,2000,61.825.624
Marshall Islands,2000,18.237.929
Mauritania,2000,4.133.019
Mauritius,2000,22.117.853
Mexico,2000,40.023.623
Micronesia (country),2000,16.069.456
Moldova,2000,84.038.395
Mongolia,2000,3.032.191
Montenegro,2000,24.013.436
Montserrat,2000,496.477
Morocco,2000,11.626.583
Mozambique,2000,7.439.819
Myanmar,2000,2.244.124
Namibia,2000,8.821.888
Nauru,2000,8.103.077
Nepal,2000,1.236.764
Netherlands,2000,10.819.221
New Caledonia,2000,10.022.451
New Zealand,2000,8.364.016
Nicaragua,2000,72.636.366
Niger,2000,59.106.026
Nigeria,2000,7.883.206
Niue,2000,34.961.832
North America,2000,14.755.113
North America (excl. USA),2000,54.837.136
North Korea,2000,29.599.326
North Macedonia,2000,41.549.816
Norway,2000,9.376.105
Oceania,2000,12.614.959
Oman,2000,10.190.949
Pakistan,2000,6.733.146
Palau,2000,1.057.726
Palestine,2000,52.860.457
Panama,2000,19.083.581
Papua New Guinea,2000,5.333.582
Paraguay,2000,703.798
Peru,2000,10.759.006
Philippines,2000,92.814.827
Poland,2000,8.244.563
Portugal,2000,6.369.645
Qatar,2000,6.241.147
Romania,2000,4.257.963
Russia,2000,100.728.245
Rwanda,2000,635.183
Saint Helena,2000,18.174.603
Saint Kitts and Nevis,2000,3.785.457
Saint Lucia,2000,21.821.418
Saint Pierre and Miquelon,2000,8.723.809
Saint Vincent and the Grenadines,2000,12.875.115
Samoa,2000,77.651.584
Sao Tome and Principe,2000,33.140.147
Saudi Arabia,2000,14.030.843
Senegal,2000,40.209.553
Serbia,2000,5.664.784
Seychelles,2000,3.935.209
Sierra Leone,2000,59.147.388
Singapore,2000,11.938.545
Sint Maarten (Dutch part),2000,18.107.855
Slovakia,2000,7.651.307
Slovenia,2000,7.586.329
Solomon Islands,2000,5.197.937
Somalia,2000,54.614.678
South Africa,2000,8.081.188
South America,2000,23.227.668
South Korea,2000,9.403.589
South Sudan,2000,75.202.435
Spain,2000,7.610.669
Sri Lanka,2000,5.397.261
Sudan,2000,20.062.841
Suriname,2000,457.682
Sweden,2000,61.920.643
Switzerland,2000,60.726.633
Syria,2000,3.321.818
Taiwan,2000,10.223.143
Tajikistan,2000,35.610.738
Tanzania,2000,7.462.405
Thailand,2000,26.535.778
Togo,2000,26.584.676
Tonga,2000,9.283.181
Trinidad and Tobago,2000,18.290.224
Tunisia,2000,1.976.546
Turkey,2000,35.863.974
Turkmenistan,2000,861.465
Turks and Caicos Islands,2000,58.564.653
Tuvalu,2000,75.843.513
Uganda,2000,5.665.403
Ukraine,2000,58.444.285
United Arab Emirates,2000,34.137.882
United Kingdom,2000,9.669.214
United States,2000,21.282.457
Upper-middle-income countries,2000,33.549.156
Uruguay,2000,16.001.378
Uzbekistan,2000,49.538.436
Vanuatu,2000,45.779.255
Venezuela,2000,58.472.433
Vietnam,2000,68.271.756
Wallis and Futuna,2000,17.390.833
World,2000,4.147.293
Yemen,2000,84.414.464
Zambia,2000,18.037.486
Zimbabwe,2000,11.676.027
Afghanistan,2001,54.300.264
Africa,2001,10.970.197
Albania,2001,10.212.585
Algeria,2001,27.832.215
Andorra,2001,7.723.235
Angola,2001,9.390.185
Anguilla,2001,74.137.416
Antigua and Barbuda,2001,48.547.626
Argentina,2001,35.864.596
Armenia,2001,11.275.281
Aruba,2001,26.540.186
Asia,2001,25.074.375
Asia (excl. China and India),2001,3.3287
Australia,2001,1.858.794
Austria,2001,8.728.174
Azerbaijan,2001,34.309.776
Bahamas,2001,5.902.166
Bahrain,2001,21.053.911
Bangladesh,2001,23.570.132
Barbados,2001,62.245.197
Belarus,2001,52.937.813
Belgium,2001,12.228.443
Belize,2001,18.016.597
Benin,2001,23.420.604
Bermuda,2001,8.539.549
Bhutan,2001,636.939
Bolivia,2001,99.962.497
Bonaire Sint Eustatius and Saba,2001,4.774.818
Bosnia and Herzegovina,2001,31.616.204
Botswana,2001,21.835.022
Brazil,2001,19.424.405
British Virgin Islands,2001,6.022.528
Brunei,2001,15.229.579
Bulgaria,2001,60.886.984
Burkina Faso,2001,80.907.255
Burundi,2001,31.734.075
Cambodia,2001,18.233.587
Cameroon,2001,35.902.226
Canada,2001,18.035.389
Cape Verde,2001,7.470.009
Central African Republic,2001,6.384.969
Chad,2001,5.921.132
Chile,2001,3.408.817
China,2001,2.929.518
Colombia,2001,1.426.988
Comoros,2001,19.398.382
Congo,2001,12.838.573
Cook Islands,2001,31.091.385
Costa Rica,2001,13.980.398
Cote d'Ivoire,2001,44.357.625
Croatia,2001,4.611.361
Cuba,2001,22.637.212
Curacao,2001,36.130.047
Cyprus,2001,72.328.205
Czechia,2001,12.428.247
Democratic Republic of Congo,2001,3.287.934
Denmark,2001,10.427.032
Djibouti,2001,47.864.392
Dominica,2001,16.124.158
Dominican Republic,2001,22.083.876
East Timor,2001,13.308.354
Ecuador,2001,18.222.574
Egypt,2001,1.752.218
El Salvador,2001,97.817.224
Equatorial Guinea,2001,43.024.526
Eritrea,2001,25.441.217
Estonia,2001,11.442.431
Eswatini,2001,10.519.838
Ethiopia,2001,61.788.637
Europe,2001,8.635.014
Europe (excl. EU-27),2001,8.743.485
Europe (excl. EU-28),2001,8.489.143
European Union (27),2001,8.558.852
European Union (28),2001,8.707.276
Faroe Islands,2001,1.647.062
Fiji,2001,1.238.587
Finland,2001,12.049.714
France,2001,6.964.637
French Polynesia,2001,28.443.859
Gabon,2001,4.959.477
Gambia,2001,20.308.006
Georgia,2001,8.987.809
Germany,2001,11.227.958
Ghana,2001,29.554.263
Greece,2001,9.515.908
Greenland,2001,10.963.848
Grenada,2001,17.989.902
Guatemala,2001,8.521.186
Guinea,2001,1.848.112
Guinea-Bissau,2001,119.472.876
Guyana,2001,22.953.768
Haiti,2001,1.728.548
High-income countries,2001,12.605.813
Honduras,2001,8.284.601
Hong Kong,2001,55.578.165
Hungary,2001,5.905.802
Iceland,2001,10.045.494
India,2001,91.843.957
Indonesia,2001,14.601.983
Iran,2001,57.916.613
Iraq,2001,37.887.805
Ireland,2001,124.333.725
Israel,2001,10.103.195
Italy,2001,825.647
Jamaica,2001,4.028.491
Japan,2001,9.830.833
Jordan,2001,30.231.593
Kazakhstan,2001,9.080.946
Kenya,2001,29.175.386
Kiribati,2001,4.046.696
Kuwait,2001,29.648.745
Kyrgyzstan,2001,7.742.214
Laos,2001,19.252.701
Latvia,2001,31.778.834
Lebanon,2001,37.379.484
Lesotho,2001,9.382.289
Liberia,2001,13.999.541
Libya,2001,10.067.175
Liechtenstein,2001,64.268.904
Lithuania,2001,35.374.224
Low-income countries,2001,42.371.845
Lower-middle-income countries,2001,1.138.159
Luxembourg,2001,20.862.108
Macao,2001,38.381.433
Madagascar,2001,10.431.209
Malawi,2001,6.724.628
Malaysia,2001,5.559.729
Maldives,2001,16.067.379
Mali,2001,10.026.809
Malta,2001,68.046.017
Marshall Islands,2001,18.848.429
Mauritania,2001,42.453.012
Mauritius,2001,23.354.683
Mexico,2001,41.021.533
Micronesia (country),2001,14.726.162
Moldova,2001,9.014.615
Mongolia,2001,31.561.596
Montenegro,2001,26.336.567
Montserrat,2001,54.258.513
Morocco,2001,12.722.286
Mozambique,2001,8.528.717
Myanmar,2001,19.245.327
Namibia,2001,10.835.646
Nauru,2001,77.619.643
Nepal,2001,12.967.098
Netherlands,2001,11.084.364
New Caledonia,2001,8.303.762
New Zealand,2001,883.861
Nicaragua,2001,75.523.347
Niger,2001,5.369.644
Nigeria,2001,79.421.395
Niue,2001,35.956.821
North America,2001,14.391.762
North America (excl. USA),2001,5.470.818
North Korea,2001,30.479.276
North Macedonia,2001,40.362.344
Norway,2001,9.636.202
Oceania,2001,12.746.045
Oman,2001,9.434.835
Pakistan,2001,6.619.909
Palau,2001,10.889.381
Palestine,2001,41.743.547
Panama,2001,22.714.877
Papua New Guinea,2001,58.541.256
Paraguay,2001,7.091.008
Peru,2001,9.408.075
Philippines,2001,8.832.031
Poland,2001,8.108.571
Portugal,2001,62.816.863
Qatar,2001,67.493.744
Romania,2001,45.412.335
Russia,2001,10.364.425
Rwanda,2001,6.351.911
Saint Helena,2001,18.408.977
Saint Kitts and Nevis,2001,38.222.241
Saint Lucia,2001,22.356.625
Saint Pierre and Miquelon,2001,8.747.414
Saint Vincent and the Grenadines,2001,15.796.856
Samoa,2001,82.939.714
Sao Tome and Principe,2001,35.069.153
Saudi Arabia,2001,13.705.683
Senegal,2001,42.846.528
Serbia,2001,62.274.847
Seychelles,2001,4.237.506
Sierra Leone,2001,76.190.226
Singapore,2001,11.937.913
Sint Maarten (Dutch part),2001,18.492.966
Slovakia,2001,8.039.532
Slovenia,2001,8.223.379
Solomon Islands,2001,53.245.777
Somalia,2001,54.935.254
South Africa,2001,7.868.436
South America,2001,223.338
South Korea,2001,9.680.925
South Sudan,2001,8.274.135
Spain,2001,76.113.143
Sri Lanka,2001,54.578.316
Sudan,2001,22.265.454
Suriname,2001,48.478.093
Sweden,2001,62.761.784
Switzerland,2001,6.240.081
Syria,2001,30.458.627
Taiwan,2001,10.288.618
Tajikistan,2001,35.694.692
Tanzania,2001,8.586.351
Thailand,2001,2.706.475
Togo,2001,22.523.151
Tonga,2001,8.518.949
Trinidad and Tobago,2001,199.887
Tunisia,2001,20.439.625
Turkey,2001,32.822.285
Turkmenistan,2001,73.427.076
Turks and Caicos Islands,2001,5.795.102
Tuvalu,2001,1.140.249
Uganda,2001,57.225.265
Ukraine,2001,62.768.607
United Arab Emirates,2001,29.360.733
United Kingdom,2001,9.780.857
United States,2001,20.694.746
Upper-middle-income countries,2001,33.883.872
Uruguay,2001,15.239.435
Uzbekistan,2001,49.991.684
Vanuatu,2001,46.487.314
Venezuela,2001,52.464.967
Vietnam,2001,7.640.383
Wallis and Futuna,2001,17.245.831
World,2001,41.206.822
Yemen,2001,89.206.994
Zambia,2001,18.500.876
Zimbabwe,2001,1.050.184
Afghanistan,2002,6.385.612
Africa,2002,10.464.746
Albania,2002,12.000.023
Algeria,2002,28.677.707
Andorra,2002,74.967.546
Angola,2002,9.180.106
Anguilla,2002,727.549
Antigua and Barbuda,2002,5.267.095
Argentina,2002,32.850.614
Armenia,2002,99.090.284
Aruba,2002,26.542.625
Asia,2002,26.111.252
Asia (excl. China and India),2002,33.585.134
Australia,2002,1.861.468
Austria,2002,8.908.898
Azerbaijan,2002,34.125.533
Bahamas,2002,60.990.796
Bahrain,2002,2.120.451
Bangladesh,2002,23.841.722
Barbados,2002,62.205.377
Belarus,2002,5.312.488
Belgium,2002,12.250.705
Belize,2002,1.688.875
Benin,2002,28.392.297
Bermuda,2002,8.960.165
Bhutan,2002,67.281.747
Bolivia,2002,11.688.464
Bonaire Sint Eustatius and Saba,2002,44.419.565
Bosnia and Herzegovina,2002,33.757.067
Botswana,2002,22.145.607
Brazil,2002,1.926.925
British Virgin Islands,2002,67.062.135
Brunei,2002,13.439.647
Bulgaria,2002,5.780.625
Burkina Faso,2002,7.926.623
Burundi,2002,31.961.735
Cambodia,2002,17.559.037
Cameroon,2002,3.362.217
Canada,2002,18.018.217
Cape Verde,2002,8.052.118
Central African Republic,2002,61.522.588
Chad,2002,59.688.486
Chile,2002,3.494.092
China,2002,32.031.846
Colombia,2002,13.818.444
Comoros,2002,19.006.427
Congo,2002,81.661.487
Cook Islands,2002,26.781.845
Costa Rica,2002,15.149.075
Cote d'Ivoire,2002,4.212.964
Croatia,2002,48.824.253
Cuba,2002,22.850.068
Curacao,2002,3.464.723
Cyprus,2002,729.934
Czechia,2002,12.108.605
Democratic Republic of Congo,2002,33.569.768
Denmark,2002,10.328.589
Djibouti,2002,50.609.016
Dominica,2002,15.024.971
Dominican Republic,2002,23.819.082
East Timor,2002,28.789.377
Ecuador,2002,18.994.552
Egypt,2002,1.7361
El Salvador,2002,10.097.492
Equatorial Guinea,2002,3.661.793
Eritrea,2002,23.577.702
Estonia,2002,11.144.102
Eswatini,2002,10.286.082
Ethiopia,2002,6.235.382
Europe,2002,8.589.781
Europe (excl. EU-27),2002,8.659.197
Europe (excl. EU-28),2002,8.466.176
European Union (27),2002,8.541.292
European Union (28),2002,8.650.571
Faroe Islands,2002,15.489.293
Fiji,2002,10.351.101
Finland,2002,12.506.471
France,2002,684.541
French Polynesia,2002,27.995.152
Gabon,2002,4.658.515
Gambia,2002,1.949.666
Georgia,2002,8.244.734
Germany,2002,11.036.306
Ghana,2002,31.232.053
Greece,2002,9.462.387
Greenland,2002,102.514.715
Grenada,2002,18.955.343
Guatemala,2002,87.239.856
Guinea,2002,18.922.736
Guinea-Bissau,2002,119.693.674
Guyana,2002,22.552.853
Haiti,2002,20.611.043
High-income countries,2002,12.623.015
Honduras,2002,8.469.169
Hong Kong,2002,5.765.216
Hungary,2002,58.222.003
Iceland,2002,10.397.763
India,2002,9.302.123
Indonesia,2002,14.014.755
Iran,2002,58.432.574
Iraq,2002,36.769.624
Ireland,2002,11.833.219
Israel,2002,9.328.958
Italy,2002,8.370.203
Jamaica,2002,386.718
Japan,2002,10.045.322
Jordan,2002,31.125.658
Kazakhstan,2002,10.269.589
Kenya,2002,2.407.181
Kiribati,2002,39.650.247
Kuwait,2002,29.298.903
Kyrgyzstan,2002,9.782.362
Laos,2002,20.794.623
Latvia,2002,3.233.392
Lebanon,2002,3.653.019
Lesotho,2002,9.538.146
Liberia,2002,14.115.748
Libya,2002,9.717.267
Liechtenstein,2002,65.252.385
Lithuania,2002,36.026.032
Low-income countries,2002,3.821.928
Lower-middle-income countries,2002,1.139.891
Luxembourg,2002,22.382.103
Macao,2002,33.733.163
Madagascar,2002,71.799.524
Malawi,2002,7.265.773
Malaysia,2002,54.690.075
Maldives,2002,20.307.295
Mali,2002,10.115.907
Malta,2002,6.788.171
Marshall Islands,2002,20.164.738
Mauritania,2002,44.278.982
Mauritius,2002,23.368.142
Mexico,2002,40.677.557
Micronesia (country),2002,13.412.259
Moldova,2002,9.768.765
Mongolia,2002,3.285.695
Montenegro,2002,27.914.073
Montserrat,2002,10.294.359
Morocco,2002,1.273.173
Mozambique,2002,82.217.775
Myanmar,2002,20.068.888
Namibia,2002,94.678.456
Nauru,2002,74.162.893
Nepal,2002,10.249.348
Netherlands,2002,10.989.949
New Caledonia,2002,10.382.526
New Zealand,2002,8.747.851
Nicaragua,2002,75.865.966
Niger,2002,54.964.066
Nigeria,2002,6.939.073
Niue,2002,36.824.121
North America,2002,14.327.525
North America (excl. USA),2002,54.553.356
North Korea,2002,29.038.157
North Macedonia,2002,37.940.593
Norway,2002,937.614
Oceania,2002,12.715.098
Oman,2002,111.670.065
Pakistan,2002,69.154.686
Palau,2002,10.692.428
Palestine,2002,34.874.225
Panama,2002,18.651.426
Papua New Guinea,2002,62.153.244
Paraguay,2002,7.296.421
Peru,2002,9.306.701
Philippines,2002,8.644.437
Poland,2002,7.9209
Portugal,2002,6.668.611
Qatar,2002,6.318.985
Romania,2002,45.857.515
Russia,2002,10.349.519
Rwanda,2002,61.974.652
Saint Helena,2002,18.709.787
Saint Kitts and Nevis,2002,42.744.555
Saint Lucia,2002,22.190.416
Saint Pierre and Miquelon,2002,9.358.876
Saint Vincent and the Grenadines,2002,16.468.722
Samoa,2002,8.637.574
Sao Tome and Principe,2002,39.121.267
Saudi Arabia,2002,146.741.705
Senegal,2002,43.580.684
Serbia,2002,66.078.024
Seychelles,2002,42.218.127
Sierra Leone,2002,9.765.687
Singapore,2002,11.274.996
Sint Maarten (Dutch part),2002,17.726.723
Slovakia,2002,7.809.585
Slovenia,2002,8.350.112
Solomon Islands,2002,5.445.934
Somalia,2002,5.917.773
South Africa,2002,74.803.147
South America,2002,22.826.743
South Korea,2002,10.060.402
South Sudan,2002,10.085.423
Spain,2002,8.003.099
Sri Lanka,2002,57.287.365
Sudan,2002,27.606.335
Suriname,2002,31.474.345
Sweden,2002,6.350.587
Switzerland,2002,5.972.797
Syria,2002,23.508.248
Taiwan,2002,10.562.082
Tajikistan,2002,28.696.308
Tanzania,2002,9.588.109
Thailand,2002,2.875.398
Togo,2002,25.039.458
Tonga,2002,9.881.528
Trinidad and Tobago,2002,21.324.247
Tunisia,2002,20.486.455
Turkey,2002,33.524.795
Turkmenistan,2002,6.412.211
Turks and Caicos Islands,2002,7.285.354
Tuvalu,2002,1.141.433
Uganda,2002,56.614.425
Ukraine,2002,61.676.164
United Arab Emirates,2002,23.295.784
United Kingdom,2002,9.439.251
United States,2002,20.621.824
Upper-middle-income countries,2002,3.526.766
Uruguay,2002,13.784.459
Uzbekistan,2002,5.182.965
Vanuatu,2002,41.689.712
Venezuela,2002,64.803.333
Vietnam,2002,86.217.517
Wallis and Futuna,2002,17.084.999
World,2002,41.582.055
Yemen,2002,8.433.813
Zambia,2002,18.660.413
Zimbabwe,2002,9.925.902
Afghanistan,2003,68.871.394
Africa,2003,1.122.038
Albania,2003,13.913.704
Algeria,2003,29.504.917
Andorra,2003,72.359.157
Angola,2003,9.646.929
Anguilla,2003,74.769.154
Antigua and Barbuda,2003,5.489.314
Argentina,2003,3.500.529
Armenia,2003,11.204.411
Aruba,2003,27.624.346
Asia,2003,28.381.112
Asia (excl. China and India),2003,34.671.035
Australia,2003,18.754.335
Austria,2003,953.213
Azerbaijan,2003,36.027.389
Bahamas,2003,61.155.963
Bahrain,2003,21.547.415
Bangladesh,2003,24.511.726
Barbados,2003,6.353.039
Belarus,2003,54.727.435
Belgium,2003,123.285.475
Belize,2003,16.376.598
Benin,2003,31.256.458
Bermuda,2003,8.970.907
Bhutan,2003,5.928.085
Bolivia,2003,12.109.458
Bonaire Sint Eustatius and Saba,2003,42.626.834
Bosnia and Herzegovina,2003,34.318.717
Botswana,2003,20.938.678
Brazil,2003,1.887.129
British Virgin Islands,2003,66.606.073
Brunei,2003,15.810.981
Bulgaria,2003,6.374.754
Burkina Faso,2003,82.463.205
Burundi,2003,2.349.795
Cambodia,2003,18.595.473
Cameroon,2003,3.488.143
Canada,2003,18.388.273
Cape Verde,2003,862.396
Central African Republic,2003,5.550.339
Chad,2003,95.952.384
Chile,2003,34.743.552
China,2003,37.560.856
Colombia,2003,13.974.992
Comoros,2003,23.777.936
Congo,2003,9.513.666
Cook Islands,2003,3.154.437
Costa Rica,2003,15.715.349
Cote d'Ivoire,2003,29.258.078
Croatia,2003,5.203.406
Cuba,2003,23.164.787
Curacao,2003,34.251.926
Cyprus,2003,75.569.654
Czechia,2003,124.484.005
Democratic Republic of Congo,2003,393.977
Denmark,2003,11.238.224
Djibouti,2003,5.225.121
Dominica,2003,17.127.248
Dominican Republic,2003,23.929.765
East Timor,2003,26.818.097
Ecuador,2003,20.352.755
Egypt,2003,19.735.758
El Salvador,2003,10.676.966
Equatorial Guinea,2003,39.679.317
Eritrea,2003,2.677.602
Estonia,2003,12.595.059
Eswatini,2003,9.481.757
Ethiopia,2003,6.656.155
Europe,2003,8.784.932
Europe (excl. EU-27),2003,8.891.477
Europe (excl. EU-28),2003,8.718.736
European Union (27),2003,8.710.939
European Union (28),2003,881.723
Faroe Islands,2003,15.454.699
Fiji,2003,1.208.209
Finland,2003,13.937.104
France,2003,6.905.554
French Polynesia,2003,296.537
Gabon,2003,4.894.109
Gambia,2003,18.948.542
Georgia,2003,92.874.527
Germany,2003,11.061.999
Ghana,2003,31.339.538
Greece,2003,9.816.556
Greenland,2003,11.441.866
Grenada,2003,19.878.253
Guatemala,2003,83.114.797
Guinea,2003,19.380.367
Guinea-Bissau,2003,14.759.932
Guyana,2003,2.442.445
Haiti,2003,19.293.408
High-income countries,2003,127.795.725
Honduras,2003,92.847.633
Hong Kong,2003,62.735.147
Hungary,2003,6.113.894
Iceland,2003,10.303.296
India,2003,9.478.657
Indonesia,2003,15.212.358
Iran,2003,59.904.127
Iraq,2003,37.410.882
Ireland,2003,11.540.162
Israel,2003,9.637.967
Italy,2003,8.637.428
Jamaica,2003,40.237.355
Japan,2003,10.096.226
Jordan,2003,31.471.076
Kazakhstan,2003,11.406.761
Kenya,2003,19.834.214
Kiribati,2003,4.273.294
Kuwait,2003,29.662.546
Kyrgyzstan,2003,10.585.338
Laos,2003,21.461.567
Latvia,2003,3.367.841
Lebanon,2003,4.113.168
Lesotho,2003,96.883.845
Liberia,2003,15.050.144
Libya,2003,10.009.158
Liechtenstein,2003,6.741.175
Lithuania,2003,36.485.844
Low-income countries,2003,42.365.277
Lower-middle-income countries,2003,11.676.073
Luxembourg,2003,2.315.829
Macao,2003,33.111.918
Madagascar,2003,9.546.538
Malawi,2003,7.598.457
Malaysia,2003,61.999.974
Maldives,2003,17.011.358
Mali,2003,10.093.527
Malta,2003,7.276.097
Marshall Islands,2003,19.490.434
Mauritania,2003,44.730.532
Mauritius,2003,24.626.372
Mexico,2003,42.583.475
Micronesia (country),2003,14.417.328
Moldova,2003,10.757.903
Mongolia,2003,31.516.347
Montenegro,2003,29.875.467
Montserrat,2003,7.876.182
Morocco,2003,1.232.925
Mozambique,2003,9.670.821
Myanmar,2003,2.130.478
Namibia,2003,9.832.226
Nauru,2003,6.362.952
Nepal,2003,109.426.185
Netherlands,2003,11.154.617
New Caledonia,2003,11.613.286
New Zealand,2003,9.015.298
Nicaragua,2003,8.144.266
Niger,2003,5.764.793
Nigeria,2003,75.186.175
Niue,2003,18.770.492
North America,2003,14.394.876
North America (excl. USA),2003,5.620.925
North Korea,2003,2.949.293
North Macedonia,2003,41.183.844
Norway,2003,9.616.297
Oceania,2003,12.802.911
Oman,2003,14.128.924
Pakistan,2003,7.040.588
Palau,2003,10.676.848
Palestine,2003,3.778.553
Panama,2003,19.141.204
Papua New Guinea,2003,6.660.837
Paraguay,2003,75.309.026
Peru,2003,8.932.883
Philippines,2003,84.741.473
Poland,2003,8.258.339
Portugal,2003,6.154.273
Qatar,2003,62.141.323
Romania,2003,4.832.942
Russia,2003,10.604.023
Rwanda,2003,5.941.882
Saint Helena,2003,19.046.959
Saint Kitts and Nevis,2003,4.258.998
Saint Lucia,2003,23.144.364
Saint Pierre and Miquelon,2003,10.001.285
Saint Vincent and the Grenadines,2003,1.749.096
Samoa,2003,8.404.791
Sao Tome and Principe,2003,42.888.916
Saudi Arabia,2003,14.426.714
Senegal,2003,47.223.246
Serbia,2003,7.0775
Seychelles,2003,4.075.347
Sierra Leone,2003,999.724
Singapore,2003,11.696.595
Sint Maarten (Dutch part),2003,17.567.434
Slovakia,2003,78.711.815
Slovenia,2003,817.907
Solomon Islands,2003,55.608.314
Somalia,2003,574.478
South Africa,2003,8.406.979
South America,2003,22.558.794
South Korea,2003,10.206.468
South Sudan,2003,10.773.877
Spain,2003,7.964.245
Sri Lanka,2003,56.742.156
Sudan,2003,30.119.038
Suriname,2003,3.052.421
Sweden,2003,6.393.145
Switzerland,2003,60.902.653
Syria,2003,31.217.315
Taiwan,2003,10.987.496
Tajikistan,2003,31.035.712
Tanzania,2003,98.763.846
Thailand,2003,29.499.335
Togo,2003,33.291.477
Tonga,2003,11.227.856
Trinidad and Tobago,2003,23.930.582
Tunisia,2003,20.740.423
Turkey,2003,35.408.273
Turkmenistan,2003,8.524.402
Turks and Caicos Islands,2003,72.391.105
Tuvalu,2003,11.340.142
Uganda,2003,5.739.935
Ukraine,2003,64.539.695
United Arab Emirates,2003,27.912.537
United Kingdom,2003,95.829.115
United States,2003,20.645.628
Upper-middle-income countries,2003,3.890.847
Uruguay,2003,13.675.556
Uzbekistan,2003,50.295.243
Vanuatu,2003,40.657.294
Venezuela,2003,59.833.198
Vietnam,2003,9.482.761
Wallis and Futuna,2003,17.031.676
World,2003,4.324.224
Yemen,2003,9.154.368
Zambia,2003,19.140.235
Zimbabwe,2003,8.785.797
Afghanistan,2004,525.291
Africa,2004,1.156.532
Albania,2004,13.637.577
Algeria,2004,28.210.921
Andorra,2004,7.285.146
Angola,2004,9.064.819
Anguilla,2004,8.580.079
Antigua and Barbuda,2004,570.796
Argentina,2004,40.526.843
Armenia,2004,12.040.119
Aruba,2004,27.963.486
Asia,2004,29.711.335
Asia (excl. China and India),2004,35.628.371
Australia,2004,19.215.673
Austria,2004,9.508.893
Azerbaijan,2004,3.769.566
Bahamas,2004,59.696.703
Bahrain,2004,21.457.098
Bangladesh,2004,25.899.187
Barbados,2004,640.634
Belarus,2004,58.255.205
Belgium,2004,12.315.304
Belize,2004,14.406.061
Benin,2004,3.285.301
Bermuda,2004,9.282.748
Bhutan,2004,47.371.596
Bolivia,2004,11.970.049
Bonaire Sint Eustatius and Saba,2004,42.882.557
Bosnia and Herzegovina,2004,37.323.158
Botswana,2004,2.095.024
Brazil,2004,19.566.369
British Virgin Islands,2004,67.672.825
Brunei,2004,15.647.754
Bulgaria,2004,62.967.324
Burkina Faso,2004,81.819.616
Burundi,2004,27.786.804
Cambodia,2004,18.775.485
Cameroon,2004,33.900.395
Canada,2004,18.165.436
Cape Verde,2004,8.734.728
Central African Republic,2004,53.422.164
Chad,2004,9.388.154
Chile,2004,36.976.247
China,2004,40.231.986
